GraceBase	GraceMul	CryBase	Rearm	DecayUp	狙い	他の最良	最大単独勝率	勝者
30	1100	30	40	6	3.10	2.23	62%	寝入りばな狙い
30	1100	30	40	12	2.79	2.19	42%	寝入りばな狙い
30	1100	30	55	6	3.67	2.31	73%	寝入りばな狙い
30	1100	30	55	12	3.17	2.46	48%	寝入りばな狙い
30	1100	45	40	6	3.12	2.88	31%	寝入りばな狙い
30	1100	45	40	12	2.83	2.94	31%	溜め+待つ
30	1100	45	55	6	3.73	3.31	40%	寝入りばな狙い
30	1100	45	55	12	3.19	3.40	35%	溜め+待つ
30	1400	30	40	6	3.60	2.25	83%	寝入りばな狙い
30	1400	30	40	12	3.06	2.23	46%	寝入りばな狙い
30	1400	30	55	6	4.31	2.48	88%	寝入りばな狙い
30	1400	30	55	12	3.65	2.46	69%	寝入りばな狙い
30	1400	45	40	6	3.62	2.98	48%	寝入りばな狙い
30	1400	45	40	12	3.06	2.90	21%	溜め+待つ
30	1400	45	55	6	4.38	3.31	71%	寝入りばな狙い
30	1400	45	55	12	3.69	3.40	21%	寝入りばな狙い
30	1800	30	40	6	4.33	2.35	96%	寝入りばな狙い
30	1800	30	40	12	3.75	2.35	85%	寝入りばな狙い
30	1800	30	55	6	5.02	2.60	94%	寝入りばな狙い
30	1800	30	55	12	4.02	2.54	83%	寝入りばな狙い
30	1800	45	40	6	4.44	3.10	83%	寝入りばな狙い
30	1800	45	40	12	3.79	3.02	58%	寝入りばな狙い
30	1800	45	55	6	5.02	3.42	90%	寝入りばな狙い
30	1800	45	55	12	4.02	3.48	35%	寝入りばな狙い
45	1100	30	40	6	4.02	2.31	88%	寝入りばな狙い
45	1100	30	40	12	3.44	2.33	69%	寝入りばな狙い
45	1100	30	55	6	4.81	2.52	94%	寝入りばな狙い
45	1100	30	55	12	3.90	2.52	79%	寝入りばな狙い
45	1100	45	40	6	4.12	3.08	75%	寝入りばな狙い
45	1100	45	40	12	3.48	3.02	44%	寝入りばな狙い
45	1100	45	55	6	4.81	3.40	85%	寝入りばな狙い
45	1100	45	55	12	3.94	3.48	33%	寝入りばな狙い
45	1400	30	40	6	4.69	2.40	100%	寝入りばな狙い
45	1400	30	40	12	3.98	2.44	94%	寝入りばな狙い
45	1400	30	55	6	5.67	2.65	100%	寝入りばな狙い
45	1400	30	55	12	4.40	2.54	88%	寝入りばな狙い
45	1400	45	40	6	4.79	3.15	92%	寝入りばな狙い
45	1400	45	40	12	4.00	3.12	62%	寝入りばな狙い
45	1400	45	55	6	5.69	3.46	100%	寝入りばな狙い
45	1400	45	55	12	4.40	3.60	56%	寝入りばな狙い
45	1800	30	40	6	5.48	2.48	100%	寝入りばな狙い
45	1800	30	40	12	4.27	2.58	92%	寝入りばな狙い
45	1800	30	55	6	6.46	3.77	71%	寝入りばな狙い
45	1800	30	55	12	4.92	2.73	94%	寝入りばな狙い
45	1800	45	40	6	5.58	3.10	96%	寝入りばな狙い
45	1800	45	40	12	4.27	3.17	71%	寝入りばな狙い
45	1800	45	55	6	6.56	3.81	69%	寝入りばな狙い
45	1800	45	55	12	4.94	3.77	75%	寝入りばな狙い
60	1100	30	40	6	4.90	2.42	100%	寝入りばな狙い
60	1100	30	40	12	4.00	2.46	94%	寝入りばな狙い
60	1100	30	55	6	5.94	2.62	100%	寝入りばな狙い
60	1100	30	55	12	4.62	2.54	94%	寝入りばな狙い
60	1100	45	40	6	5.00	3.17	96%	寝入りばな狙い
60	1100	45	40	12	4.00	3.15	60%	寝入りばな狙い
60	1100	45	55	6	5.98	3.50	100%	寝入りばな狙い
60	1100	45	55	12	4.62	3.65	67%	寝入りばな狙い
60	1400	30	40	6	5.56	2.50	100%	寝入りばな狙い
60	1400	30	40	12	4.31	2.56	94%	寝入りばな狙い
60	1400	30	55	6	6.58	4.10	69%	寝入りばな狙い
60	1400	30	55	12	4.96	2.88	88%	寝入りばな狙い
60	1400	45	40	6	5.62	3.10	96%	寝入りばな狙い
60	1400	45	40	12	4.31	3.19	67%	寝入りばな狙い
60	1400	45	55	6	6.60	4.06	69%	寝入りばな狙い
60	1400	45	55	12	4.98	3.79	71%	寝入りばな狙い
60	1800	30	40	6	8.38	2.60	100%	寝入りばな狙い
60	1800	30	40	12	5.46	2.73	100%	寝入りばな狙い
60	1800	30	55	6	8.83	4.73	100%	寝入りばな狙い
60	1800	30	55	12	6.00	3.04	96%	寝入りばな狙い
60	1800	45	40	6	8.38	3.33	100%	寝入りばな狙い
60	1800	45	40	12	5.48	3.27	98%	寝入りばな狙い
60	1800	45	55	6	8.83	4.65	100%	寝入りばな狙い
60	1800	45	55	12	6.00	3.83	94%	寝入りばな狙い
